"Central Dusun","Tulan Koiso ‘Month One’ Tulan Milatok ‘Green-month’","Tulan Koduo ‘Month Two’ Tulan Mansak ‘Ripe-month’","Tulan Kotolu ‘Month Three’ Tulan Gomot ‘Harvest-month’","Tulan Kaapat ‘Month Four’ Tulan Ngiop ‘Winding-month’","Tulan Kolimo ‘Month Five’ Tulan Mikat ‘Fest-month’","Tulan Koonom ‘Month Six’ Tulan Mahas ‘Look-month’","Tulan Koturu ‘Month Seven’ Tulan Madas ‘Clear-month’","Tulan Kawalu ‘Month Eight’ Tulan Magus ‘Seed-month’","Tulan Kosiam ‘Month Nine’ Tulan Manom ‘Plant-month’","Tulan Kohopod ‘Month Ten’ Tulan Gumas ‘Pluck-month’","Tulan Kohopod om Iso ‘Month Eleven’ Tulan Milau ‘Grow-month’","Tulan Kohopod om Duo ‘Month Twelve’ Tulan Momuhau ‘Scarecrow-month’"
"Chinese","一月","二月","三月","四月","五月","六月","七月","八月","九月","十月","十一月","十二月"
"Cantonese", "yātyuht", "yihyuht", "sàamyuht", "seiyuht", "seiyuht", "nǵhyuht", "luhkyuht", "chātyuht", "baatyuht","gáuyuht", "sahpyuht", "sahpyātyuht", "sahpyihyuht" 
"Mandarin", "yīyuè", "èryuè", "sānyuè", "sìyuè", "wǔyuè", "liùyuè", "qīyuè", "bāyuè","jiǔyuè", "shíyuè", "shíyīyuè", "shí'èryuè"
"Taiwanese", "it-goeh8", "ji7-goeh8", "an-goeh8", "si3-goeh8", "go•7-goeh8","lak8-goeh8","chhit-goeh8","peh-goeh8", "kau2-goeh8", "chap8-goeh8","chap8-it-goeh8", "chap8-ji7-goeh8"
"Cornish","Mys Genver","Mys Hwevrer","Mys Merth","Mys Ebrel","Mys Me","Mys Methevan","Mys Gortheren","Mys Est","Mys Gwynngala","Mys Hedra","Mys Du","Mys Kevardhu"
"Corsican","ghjennaghju","ferraghju","marzu","aprile","maghju","ghjugnu","lugliu","aostu","sittembre","uttobre","nuvembre","dicembre"
"Croatian","siječanj","veljača","ožujak","travanj","svibanj","lipanj","srpanj","kolovoz","rujan","listopad","studeni","prosinac"
"Curonian","januars","fėbruars","mêrcs","aprils","maijs","juni","juli","augusts","sêptêmbirs","oktōbirs","novêmbirs","decêmbirs"
"Czech","leden","únor","březen","duben","květen","červen","červenec","srpen","září","říjen","listopad","prosinec"
"Danish","januar","februar","marts","april","maj","juni","juli","august","september","oktober","november","december"
"Deg Xinag","vinginh srosr trˈiłghitl","vinginh srosr trˈiłghitl","vinginh titrˈinay qˈuliqˈiy noˈo","ginoˈo giniˈoˈ","vinginh titrˈey trˈilay","vinginh xuniłyay (Yukon dilaect) vinginh łegg ilighiy (Kuskokwim dialect)","vinginh giligh (Yukon dilaect) łegg noˈo (Kuskokwim dialect)","lighan noˈo (Yukon dilaect) lighan niˈoˈ (Kuskokwim dialect)","vinginh gitrˈidinalney nithdlaghiy noˈo vinginh gitˈonˈ niˈiłdax","vinginh xuqˈudh (Yukon dilaect) vinginh tiłqˈudh (Kuskokwim dialect)","łeggided noˈo","xiyh tthˈexinedr, vinginh qˈunodle chux"
"Dgèrnésiais","janvier","févérier","mar","avril","mai","juin","juillet","avout","séptembre","octobre","novembre","décembre"
"Dutch","januari","februari","maart","april","mei","juni","juli","augustus","september","oktober","november","december"
"Estonian","jaanuar","veebruar","märts","aprill","mai","juuni","juuli","august","september","oktoober","november","detsember"
"Ewe","Dzove","Dzodze","Tedoxe","Afɔfiɛ","Damɛ","Masa","Siamlɔm","Dasiamime","Anyɔnyɔ","Kele","Adeɛmekpɔxe","Dzome"
"Faroese","januar","februar","mars","apríl","mai","juni","juli","august","september","oktober","november","desember"
"Fijian","Jaanueri","Feperueri","Maji","Epereli","Mee","Junee","Julai","Okosita","Sepiteba","Okotova","Nooveba","Tiiseba"
"Finnish","tammikuu","helmikuu","maaliskuu","huhtikuu","toukokuu","kesäkuu","heinäkuu","elokuu","syyskuu","lokakuu","marraskuu","joulukuu"
"French","janvier","février","mars","avril","mai","juin","juillet","août","septembre","octobre","novembre","décembre"
"Frisian (North)","januuar","februaar","märts","april","moi","juuni","juuli","august","septämber","oktoober","nowämber","detsämber"
"Frisian (West)","Jannewaris","Febrewaris","Maart","April","Maaie","Juny","July","Augustus","Septimber","Oktober","Novimber","Desimber"
"Friulian","genâr","fevrâr","març","avrîl","mai","jugn","lui","avost","setembar","otubar","novembar","decembar"
"Galician","xaneiro","febreiro","marzo","abril","maio","xuño","xullo","agosto","setembro","outubro","novembro","decembro"
"Gagauz","Бююкь ай (Büük ay)","Гюджюкь ай (Gücük ay)","Баба Марта айы (Baba Marta ayı)","Чичекь айы (Çiçek ayı)","Хедерлезь айы (Hederlez ayı)","Кирезь айы (Kirez ayı)","Орак айы (Orak ayı)","Харман айы (Harman ayı)","Ӂевиз айы (Ceviz ayı)","Ӂанавар айы (Canavar ayı)","Касым айы (Kasım ayı)","Кыран айы (Kıran ayı)"
"Gascon","genèr","heurèr","març","abriu","mai","junh","julhet","agóst","seteme","octobre","noveme","deceme"
"German","Januar","Februar","März","April","Mai","Juni","Juli","August","September","Oktober","November","Dezember"
"German (Swiss)","Januar","Februar","Merz","April","Mai","Juni","Juli","Auguscht","Septämber","Oktober","Novämber","Dezämber"
"Greek (Modern)","Iανουάριος (Ianouários)","Φεβρουάριος (Febrouários)","Μάρτιος (Mártios)","Aρίλιος (Aprílios)","Μάιος (Máios)","Iούνιος (Ioúnios)","Iούλιος (Ioúlios)","Αύγουστος (Aúgoustos)","Σεπτέμβριος (Septémbrios)","Oκτώβριος (Oktṓbrios)","Νοέμβριος (Noémbrios)","Δεκέμβριος (Dekémbrios Dekémbrios )"
"Greenlandic","januari","februari","martsi","aprili","maji","juni","juli","augustusi","septemberi","oktoberi","novemberi","decemberi"
"Haitian Creole","janvye","fevriye","mas","avril","me","jen","jiyè","out","septanm","oktòb","novanm","desanm"
"Hebrew","ינואר (yanû'ar)","פברואר (febrû'ar)","מרץ (mârs)","אפריל (âprîl)","מאי (mây)","יוני (yûnî)","יולי (yûlî)","אוגוסט (âvgûst)","ספטמבר (september)","אוקטובר (ôqtôber)","נובמבר (nôvember)","דצמבר (december)"
"Hindi","जनवरी (janvarī)","फ़रवरी (farvarī)","मार्च (mārch)","अप्रैल (aprail)","मई (maī)","जून (jūn)","जुलाई (julāī)","अगस्त (agast)","सितंबर (sitambar)","अक्टूबर (aktūbar)","नवंबर (navambar)","दिसंबर (disambar)"
"Hungarian","január","február","március","április","május","június","július","augusztus","szeptember","október","november","december"
"Icelandic","janúar","febrúar","mars","apríl","maí","júní","júlí","ágúst","september","október","nóvember","desember"
"Indonesian","Januari","Februari","Maret","April","Mei","Juni","Juli","Agustus","September","Oktober","November","Desember"
"Irish (Gaelic)","Eanáir mí Eanáir","Feabhra mí Feabhra","Márta mí an Mhárta","Aibreán mí Aibreáin","Bealtaine mí na Bealtaine","Meitheamh mí an Mheithimh","Iúil - mí Iúil","Lúnasa mí Lúnasa","Meán Fómhair mí Mheán Fómhair","Deireadh Fómhair mí Dheireadh Fómhair","Samhain mí na Samhna","Nollaig mí na Nollag"
"Italian","gennaio","febbraio","marzo","aprile","maggio","giugno","luglio","agosto","settembre","ottobre","novembre","dicembre"
"Japanese (Traditional calendar)","一月 (ichigatsu) 睦月 (mutsuki)","二月 (nigatsu 如月( kisaragi)","三月 (sangatsu) 弥生 (yayoi)","四月 (shigatsu) 卯月 (uduki)","五月 (gogatsu) 皐月 (satsuki)","六月 (rokugatsu) 水無月 (minaduki)","七月 (sichigatsu) 文月 (fumiduki)","八月 (hachigats) 葉月 (haduki)","九月 (kugatsu) 長月 (nagatsuki)","十月 (jūgatsu) 神無月 (kaminaduki)","十一月 (jūichigatsu) 霜月 (shimotsuki)","十二月 (jūnigatsu) 師走 (shiwasu)"
"Jèrriais","Janvyi","Févri","Mar","Avri","Mai","Juîn","Juilet","Août","Septembre","Octobre","Novembre","Dézembre"
"Kapampangan","Enero","Pebrero","Marso","Abril","Mayo","Hunio","Hulio","Agosto","Septiembre","Octubre","Nobiembre","Diciembre"
"Kashubian","Stëcznik","Gromicznik","Strëmiannik","Łżëkwiat","Môj","Czerwińc","Lëpińc","Zélnik","Séwnik","Rujan","Lëstopadnik","Gòdnik"
"Kazakh","Қаңтар (Ķaṇtar)","Ақпан (Aķpan)","Наурыз (Nauryz)","Сәуір (Säuïr)","Мамыр (Mamyr)","Маусым (Mausym)","Шілде (Šïlde)","Тамыз (Tamyz)","Қыркүйек (Ķyrküjek)","Қазан (Ķazan)","Қараша (Ķaraša)","Желтоқсан (Želtoķsan)"
"Khoekhoe (Nama)","!khanni","!khanǀgôab","ǀkhuǁkhâb","!hoaǂkhaib","!khaitsâb","gamaǀaeb","ǂkhoesaob","aoǁkhumûǁkhâb","taraǁkhumûǁkhâb","ǂnûǁnâiseb","ǀhoǂgaeb","hôasoreb"
"Korean","일월 (ilweol)","이월 (iweol)","삼월 (samweol)","사월 (saweol)","오월 (oweol)","유월 (yuweol)","칠월 (chilweol)","팔월 (palweol)","구월 (guweol)","시월 (siweol)","십일월 (sipilweol)","십이월 (sipiweol)"
"Ladino","Jenero","Fevrero","Marso","Avril","Mayo","Junio","Djulio","Agosto","Sietembre","Oktubre","Noviembre","Disiembre"
"Latin","Iānuārius","Februārius","Martius","Aprīlis","Māius","Iūnius","Iūlius","Augustus","September","Octōber","November","December"
"Latvian","janvāris","februāris","marts","aprīlis","maijs","jūnijs","jūlijs","augusts","septembris","oktobris","novembris","decembris"
"Ligurian","zenná","frevá","marsu","arví","mazzu","zûgnu","lûggiu","agustu","settembre","ottubre","nuvembre","dexembre"
"Limburgish","jannewarie","fibberwarie","miert","eprèl","meij","junie","julie","augustus","september","oktober","november","desember"
"Lithuanian","sausis","vasaris","kovas","balandis","gegužė","birželis","liepa","rugpjūtis","rugsėjis","spalis","lapkritis","gruodis"
"Low German","Januor","Februor","Moaz","April","Mai","Juni","Juli","August","September","Oktober","November","Dezember"
"Luxembourgish","Januar","Februar","Mäerz","Abrëll","Mee","Juni","Juli","August","September","Oktouber","November","Dezember"
"Macedonian","јануари (januari)","февруари (fevruari)","март (mart)","април (april)","мај (maj)","јуни (juni)","јули (juli)","август (avgust)","септември (septemvri)","октомври (oktomvri)","ноември (noemvri)","декември (dekembri)"
"Malay","Januari","Februari","Mac","April","Mei","Jun","Julai","Ogos","September","Oktober","November","Disember"
"Maltese","Jannar","Frar","Marzu","April","Mejju","Ġunju","Lulju","Awissu","Settembru","Ottubru","Novembru","Diċembru"
"Manx (Gaelic)","Jerrey-geuree","Toshiaght-arree","Mayrnt","Averil","Boaldyn","Mean-souree","Jerrey-souree","Luanistyn","Mean-fouyir","Jerrey-fouyir","Mee Houney","Mee ny Nollick"
"Maori","Kohitātea","Hui tanguru","Poutū te rangi","Paengawhāwhā","Haratua","Pipiri","Hōngoingoi","Hereturikōkā","Mahuru","Whiringa ā nuku","Whiringa ā rangi","Hakihea"
"Marshallese","Jānwōde","Pāpode","M̧aaj","Eprōļ","Māe","Juun","Juļae","O̧kwōj","Jeptōm̧ba","Oktoba","Nobōm̧ba","Tijem̧ba"
"Mirandese","Janeiro","Febreiro","Márcio","Abril","Maio","Junho","Julho","Agosto","Setembre","Outubre","Nobembre","Dezembre"
"Ndebele","Mtjhidi","Mhlolanja","Ntakana","Sihlabantangana","Mrhayili","Mgwengweni","Velebehlinza","Rhoboyi","Mbozisi","Sewula","Sinyekhaba","Nobayeni"
"Neapolitan","jennaro","frevaro","màrzo","abbrile","maggio","giùgno","luglio","aùsto","settembre","ottovre","nuvembre","dicembre"
"Niuean","Ianuali","Fepuali","Mati","Apelila","Me","Iuni","Iulai","Aokuso","Sepetema","Oketopa","Novema","Tesemo"
"Normand","jaunvyi","févryi","mâr","avri","mouai","juin","juilet","âot","s'tembre","octobe","novembe","décembe"
"Norwegian","januar","februar","mars","april","mai","juni","juli","august","september","oktober","november","desember"
"Occitan","genièr","febrier","març","abril","mai","junh","julh","agost","setembr","octobre","novembre","decembre"
"Old English","Se æfterra Gēola","Solmōnaþ","Hreþmōnaþ","Ēastermōnaþ","Þrimilcemōnaþ","Sēremōnaþ","Mǣdmōnaþ","Wēodmōnaþ","Hāligmōnaþ","Winterfylleþ","Blōtmōnaþ","Gēolmōnaþ"
"Papiamento","yanuari","febrüari","mart","aprel","mei","yüni","yüli","ougùstùs","sèptèmber","òktober","novèmber","desèmber"
"Plautdietsch","Jaunwoa","Febawoa","Moaz","Aprel","Mai","Jüni","Jüli","August","Septamba","Oktoba","Novamba","Dezamba"
"Poitevin","jhanvràe","fouvràe","mar","avrell","mae","jhén","jhullét","àut","sébtenbre","octoubre","nouvenbre","décenbre"
"Polish","styczeń","luty","marzec","kwiecień","maj","czerwiec","lipiec","sierpień","wrzesień","październik","listopad","grudzień"
"Portuguese","janeiro","fevereiro","março","abril","maio","junho","julho","agosto","setembro","outubro","novembro","dezembro"
"Provençal","janvié","febrié","mars","abriéu","mai","jun","juliet","avoust","sètembre","óutobre","nouvèmbre","desèmbre"
"Quechua","Kamay killa","Poqoy","Pauqarwara","Ayriwa","Aymuray","Kuski","Hawkaykuski","Situa","Chawawarki","Kantarayki","Ayamarka","Noviembre Hatun Raymi"
"Romanian","ianuarie","februarie","martie","aprilie","mai","iunie","iulie","august","septembrie","octombrie","noiembrie","decembrie"
"Russian","январь (janvar')","февраль (fevrali)","март (mart)","апрель (aprel')","май (maj)","июнь (ijun')","июль (ijul')","август (avgust)","сентябрь (sentjabr')","октябрь (oktjabr')","ноябрь (nojabr')","декабрь (dekabr')"
"Sardinian","gennarju","friarju","martzu","abrili","mayu","làmpadas","arjolas","austu","cabudanni","ladàmini","donnyasantu","idas"
"Scots","Januar","Februar","Mairch","Apryle","Mey","Juin","Julie","Augist","September","October","November","Dizember"
"Scottish Gaelic","am Faoilleach","an Gearran","am Màrt","an Giblean","an Cèitean","an t-Ògmhios","an t-luchar","an Lùnastal","an t-Sultain","an Dàmhair","an t-Samhain","an Dùbhlachd"
"Serbian","јануар (januar)","фебруар (februar)","март (mart)","април (april)","мај (maj)","јуни (juni)","јули (juli)","август (avgust)","септембар (septembar)","октобар (oktobar)","новембар (novembar)","децембар (decembar)"
"Sercquiais","djãvi","fevri","mar","avri","me","djwĩ","djwilet","u","septãb","oktobr","novãbr","dezãb"
"Sesotho","Pherekgong","Hlakola","Hlakubele","Mmesa","Motsheanong","Phupjane","Phupu","Phato","Lwetse","Mphalane","Pudungwana","Tshitwe"
"Sicilian","jinnaru","frivaru","marzu","aprili","maiu","giugnu","giugnettu","austu","sittèmmiru","uttùviru","nuvèmmiru","dicèmmiru"
"Slovak","január","február","marec","apríl","máj","jún","júl","august","september","október","november","december"
"Slovenian","januar","februar","marec","april","maj","junij","julij","avgust","september","oktober","november","december"
"Somali","Janaayo","Febraayo","Maarso","Abriil","Maajo","Juun","Luuliyo","Agoosto","Sebteembar","Oktoobar","Nofeembar","Diseembar"
"Sorbian","wulki róžk","mały róžk","nalětnik","jutrownik","róžownik","smažnik","pražnik","žnjenc","požnjenc","winowc","nazymnik","hodownik"
"Spanish","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"Swahili","januari","februari","machi","aprili","mei","juni","julai","agosti","septemba","oktoba","novemba","desemba"
"Swazi","Bhimbidvwane","iNdlovana","iNdlovu","Mabasa","iNkhwekhweti","iNhlaba","Kholwane","iNgci","iNyoni","iMphala","Lidvuba / Lweti","iNgongoni"
"Swedish","januari","februari","mars","april","maj","juni","juli","augusti","september","oktober","november","december"
"Thai","มกราคม (makarakhom)","กุมภาพันธ์ (kumphaphan)","มีนาคม (minakhom)","เมษายน (mesayon)","พฤษภาคม (pruesaphakhom)","มิถุนายน (mithunayon)","กรกฎาคม (karakadakhom)","สิงหาคม (singhakhom)","กันยายน (kanyayon)","ตุลาคม (tulakhom)","พฤศจิกายน (pruesajikayon)","ธันวาคม (thanwakhom)"
"Tokelauan","Toe Palolo Ianuali","Mulifā Fepuali","Takaoga Māti","Uluaki Hilga Apelila","Toe Hiliga Mē","Uluaki Utua Iuni","Toe Utua Iulai","Vainoa Aukuho","Faka-Afu Hētema","Kaununu Oketopa","Oloāmanu Novema","Uluaki Palolo Tēhema"
"Tok Pisin","Janueri","Februeri","Mas","Epril","Me","Jun","Julai","Ogas","Septemba","Oktoba","Novemba","Disemba"
"Turkish","ocak","şubat","mart","nisan","mayis","haziran","temmuz","ağustos","eylül","ekim","kasım","aralık"
"Tuvaluan","Ianuali","Fepuali","Māti","Apelila","Mē","Iuni","Iulai","Aokuso / Aukuso","Sētema","Oketopa","Nōvema","Tēsema"
"Ukrainian","січень (sičen')","лютий (ljutyj)","березень (berezen')","квітень (kviten')","травень (traven')","червень (červen')","липень (lypen)","серпень (serpen)","вересень (veresen)","жовтень (zhovten)","листопад (lystopad)","грудень (hruden)"
"Vai","ꖨꕪꖃ ꔞꕮ [lukalo kema]","ꕒꕡꖝꖕ [ɓaⁿɗaɓuu]","ꕾꖺ [voɔ]","ꖢꖕ [fuu]","ꖑꕱ [goo]","&nsbp;","&nsbp;","ꗛꔕ [kɔⁿɗe]","ꕢꕌ [saha]","ꕭꖃ [gala]","ꔞꘋꕔꕿ ꕸꖃꗏ [kẽkpato ɓolalɔ]","ꖨꕪꕱ ꗏꕮ [lukao lɔma]"
"Venda","Phando","Luhuhi","Ṱhafamuhwe","Lambamai","Shundunthule","Fulwi","Fulwana","Ṱhangule","Khubvumedzi","Tshimedzi","Ḽara","Nyendavhusiku"
"Vietnamese","tháng một (𣎃𠬠)","tháng hai (𣎃𠄩)","tháng ba (𣎃𠀧)","tháng tư (𣎃四/𦊛)","tháng năm (𣎃𠄼)","tháng sáu (𣎃𦒹)","tháng bảy (𣎃𦉱)","tháng tám (𣎃𠔭)","tháng chín (𣎃𠃩)","tháng mười (𣎃𨑮)","tháng mười một (𣎃𨑮𠬠)","tháng mười hai (𣎃𨑮𠄩)"
"Võro","vahtsõaastakuu","radokuu","urbõkuu","mahlakuu","lehekuu","piimäkuu","hainakuu","põimukuu","süküskuu","rehekuu","märtekuu","joulukuu"
"Walloon","djanvî","fevrî","måss","avri","may","djun","djulete","awousse","setimbe","octôbe","nôvimbe","decimbe"
"Welsh","(mis) Ionawr","(mis) Chwefror","(mis) Mawrth","(mis) Ebrill","(mis) Mai","(mis) Mehefin","(mis) Gorffennaf","(mis) Awst","(mis) Medi","(mis) Hydref","(mis) Tachwedd","(mis) Rhagfyr"
"Yiddish","יאַנואַר (yanuar)","פֿעברואַר (februar)","מאַרץ (marts)","אַפּריל (april)","מײַ (may)","יוני (yuni)","יוני (yuli)","אױגוסט (oygust)","סעפּטעמבער (september)","אָקטאָבער (oktober)","נאָװעמבער (november)","דעצעמבער (detsember)"
"Zulu","uJanuwari","uFebruwari","uMashi","uApreli","uMeyi","uJuni","uJulayi","uAgasti","uSebutemba","uOkthoba","uNovemba","uDisemba"
